Категория,Вуз,Адрес,e-mail,Телефон,Сайт
Авиационные,Нижегородский государственный технический университет им. Р.Е. Алексеева,"г. Нижний Новгород (Нижегородская обл.), ул. Минина, д. 24",priem@nntu.nnov.ru,"(831) 436-73-43, 220-15-96, 436-94-75",http://www.nntu.ru
Авиационные,Южно-Уральский государственный университет (национальный исследовательский университет),"г. Челябинск (Челябинская обл.), пр-т им. В.И. Ленина, д. 76",prkom@susu.ac.ru,"(351) 267-94-52, 8(800) 300-00-55",http://susu.ac.ru
Авиационные,Самарский национальный исследовательский университет имени академика С.П. Королева,"г. Самара (Самарская обл.), Московское ш., д. 34",ssau@ssau.ru,"(846) 335-18-26, 334-76-05, 267-48-67",http://www.ssau.ru
Авиационные,Донской государственный технический университет,"г. Ростов-на-Дону (Ростовская обл.), пл. Гагарина, д. 1",reception@donstu.ru,"(863) 273-85-66, 238-17-00, 273-85-11",http://www.donstu.ru
Авиационные,Уфимский государственный авиационный технический университет,"г. Уфа (Башкортостан респ., Уфимский р-н), ул. К. Маркса, д. 12",abit@ugatu.su,(347) 272-63-07,http://www.ugatu.ac.ru
Авиационные,Кубанский государственный технологический университет,"г. Краснодар (Краснодарский край), ул. Московская, д. 2",adm@kgtu.kuban.ru,"(861) 255-25-32 (пр. комиссия), 255-84-01, 255-03-85",http://kubstu.ru
Авиационные,Пермский национальный исследовательский политехнический университет,"г. Пермь (Пермский край), Комсомольский пр-т, д. 29",enter@pstu.ru,(342) 219-80-65,http://pstu.ru
Авиационные,Ижевский государственный технический университет им. М.Т. Калашникова,"г. Ижевск, ул. Студенческая, д. 7",info@istu.ru; pk@istu.ru (ПК),"(3412) 58-53-58, (3412) 77-60-55; (3412) 58-38-89 (ПК)",http://www.istu.ru/
Авиационные,Воронежский государственный технический университет,"г. Воронеж (Воронежская обл.), Московский пр-т, д. 14",pk@vorstu.ru,(473) 246-40-67,https://cchgeu.ru
Авиационные,Военно-воздушная академия им. проф. Н.Е. Жуковского и Ю.А. Гагарина,"г. Воронеж, ул. Старых Большевиков, 54 «А»",vaiu@mil.ru,(473) 226-47-52,http://академия-ввс.рф
Авиационные,Волгоградский государственный технический университет,"г. Волгоград (Волгоградская обл.), пр-т им. Ленина, д. 28",prk@vstu.ru,"(8442) 23-22-92, 23-00-76",http://www.vstu.ru/
Авиационные,Рыбинский государственный авиационный технический университет имени П. А. Соловьёва,"152934, Ярославская область, г. Рыбинск, ул. Пушкина, д. 53",pk@rsatu.ru,(4855) 28-04-73; (4855) 22-22-07,http://www.rsatu.ru
Авиационные,Национальный исследовательский Томский государственный университет,"Томск, пр. Ленина, 36",rector@tsu.ru; pk@mail.tsu.ru (ПК),(3822) 529 852; (3822) 52-96-72 (ПК),http://www.tsu.ru/
Авиационные,Ахтубинский филиал «Взлет» Московского авиационного института (национального исследовательского университета),"г. Ахтубинск (Астраханская обл., Ахтубинский р-н), ул. Добролюбова, д. 5",vzlet-mai@mail.ru,(85141) 5-28-26,http://mai.ru/education/vzlet/
Авиационные,Байконурский филиал «Восход» Московского авиационного института (национального исследовательского университета),"Байконур (Казахстан), пр-т Гагарина, д. 5",voshod.pk@mail.ru,"(336) 225-15-22, 225-14-43",http://www.mai.ru/education/voshod/
Авиационные,Жуковский филиал «Стрела» Московского авиационного института (национального исследовательского университета),"г. Жуковский (Московская обл.), ул. Жуковского, д. 8",strela-mai@mail.ru,"(495) 556-90-11, 556-66-55, 556-37-88, 556-82-86 (вечернее отд.)",http://mai.ru/education/strela/
Авиационные,Ступинский филиал Московского авиационного института (национального исследовательского университета),"г. Ступино (Московская обл., Ступинский р-н), ул. Пристанционная, д. 4",sf-mai@mai.ru,"(496) 644-72-87, 644-72-87",http://www.sfmati.ru/
Авиационные,Иркутский филиал Московского государственного технического университета гражданской авиации,"г. Иркутск (Иркутская обл.), ул. Коммунаров, д. 3",post_office@if-mstuca.ru,"(3952) 20-33-22, 54-44-02",http://if-mstuca.ru
Авиационные,Ростовский филиал Московского государственного технического университета гражданской авиации,"г. Ростов-на-Дону (Ростовская обл.), ул. Шолохова, д. 262в",office@rfmstuca.ru,"(863) 250-87-42, 250-87-58, 250-87-56",http://www.rfmstuca.ru
Авиационные,Филиал в г. Миассе Южно-Уральского государственного университета (национальный исследовательский университет),"г. Миасс (Челябинская обл.), пр. Октября, д. 16",abit_miass@susu.ru,+7 (3513) 53-11-73,https://www.miass.susu.ru/
Авиационные,Серпуховской филиал Военной академии ракетных войск стратегического назначения им. Петра Великого Министерства обороны Российской Федерации,"г. Серпухов (Московская обл.), Бригадная ул., д. 17",varvsn-serp@mil.ru,(4967) 72-19-11 (коммуникатор),https://serpukhov.varvsn.mil.ru/
Авиационные,Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева,"660037, Сибирский федеральный округ, Красноярский край, г. Красноярск, проспект им. газеты Красноярский рабочий, 31",priemsibsau@sibsau.ru,"+7 (391) 262-95-96, +7 (391) 291-91-75 (приемная комиссия)",https://www.sibsau.ru/
Авиационные,Московский государственный университет леса (Мытищинский филиал МГТУ им. Н. Э. Баумана),"Московская область, г. Мытищи-5, ул. 1-я Институтская, д. 1",priem@mgul.ac.ru,"8 (495) 586-93-35, 8 (498) 687-36-24",http://www.msfu.ru/
Авиационные,Санкт-Петербургский государственный университет аэрокосмического приборостроения,"г. Санкт-Петербург, ул. Большая Морская, д. 67",common@aanet.ru,(812) 710-65-10  ф.: (812) 710-65-10,http://new.guap.ru/
Авиационные,Омский государственный технический университет,"г. Омск (Омская обл.), пр. Мира, д. 11",pk@omgtu.ru,(3812) 72-90-55 (приемная комиссия),http://www.omgtu.ru
Аграрные,Нижегородский государственный инженерно-экономический университет (Княгининский университет),"г. Княгинино (Нижегородская обл., Княгининский р-н), ул. Октябрьская, д. 22а",ngiei-pk@mail.ru,8 (83166) 4-15-47,http://www.ngieu.ru
Аграрные,Российский университет дружбы народов,"г. Москва, ул. Миклухо-Маклая, д. 6",priem@rudn.ru,"(495) 787-38-27, 433-95-88",http://www.rudn.ru
Аграрные,Московская государственная академия ветеринарной медицины и биотехнологии им. К.И. Скрябина,"г. Москва, Академика Скрябина ул., д. 23",rector@mgavm.ru,"(495) 377-93-32, 377-91-17, 377-49-39, 372-43-85",http://www.mgavm.ru
Аграрные,Российский государственный аграрный университет - МСХА имени К.А. Тимирязева,"г. Москва, ул. Тимирязевская, д. 49",priem@timacad.ru,"(499) 977-14-55, 977-12-74 (приемная комиссия), (499) 976-04-80",http://www.timacad.ru
Аграрные,Северный (Арктический) федеральный университет имени М.В. Ломоносова,"г. Архангельск (Архангельская обл.), Северной Двины наб., д. 17",priem@narfu.ru,"(818) 221-61-07, 221-61-89",http://narfu.ru
Аграрные,Санкт-Петербургский государственный аграрный университет,"Санкт-Петербург, г. Пушкин, Петербургское шоссе, дом 2",agro@spbgau.ru,(812) 470-04-22,http://spbgau.ru/
Аграрные,Санкт-Петербургская государственная академия ветеринарной медицины,"Санкт-Петербург, Черниговская ул., дом 5",mail@spbgavm.ru,(812) 388-36-31,http://www.spbgavm.ru/
Аграрные,Санкт-Петербургский государственный лесотехнический университет им. С.М. Кирова,"Санкт-Петербург, Институтский пер.,д.5",public@spbftu.ru,"(812) 670-92-46, 670-92-97",http://spbftu.ru/
Аграрные,Сибирский университет потребительской кооперации,"г. Новосибирск (Новосибирская обл.), пр-т К. Маркса, д. 26",d_select@sibupk.nsk.su,"(383) 346-58-52, 3410-63-12",http://www.sibupk.su
Аграрные,Новосибирский государственный аграрный университет,"г. Новосибирск (Новосибирская обл.), ул. Добролюбова, д. 160",pk@nsau.edu.ru,"(383) 347-41-14, 267-38-04, 264-16-78",http://nsau.edu.ru/
Аграрные,Казанский государственный аграрный университет,"г. Казань (Татарстан респ.), ул. Карла Маркса, д. 65",info@kazgau.ru,(843) 236-65-22,http://www.kazgau.ru
Аграрные,Казанская государственная академия ветеринарной медицины им. Н.Э. Баумана,"Казань, Сибирский тракт, 35",study@ksavm.senet.ru; priemksavm@mail.ru (ПК),(843) 273-96-17; (843) 273-96-46 (ПК),http://www.ksavm.senet.ru/
Аграрные,Уральский государственный лесотехнический университет,"г. Екатеринбург, Сибирский тракт, д. 37",rector@usfeu.ru; u2007u@ya.ru (ПК),343 254-65-06; (343) 254 63 06 (ПК),http://www.usfeu.ru/
Аграрные,Уральский государственный аграрный университет,"г. Екатеринбург, ул. Карла Либкнехта, 42",academy@usaca.ru; pk-usaca@mail.ru (ПК),"(343) 371-33-63, (343) 371-03-61",http://urgau.ru/
Аграрные,Нижегородская государственная сельскохозяйственная академия,"г. Нижний Новгород, пр. Гагарина, 97",ngsha-kancel-1@bk.ru,(831) 462-78-17,http://nnsaa.ru/
Аграрные,Челябинский государственный университет,"г. Челябинск (Челябинская обл.), ул. Братьев Кашириных, д. 129",odou@csu.ru,"(351) 742-03-09, 799-71-66",http://www.csu.ru
Аграрные,Южно-Уральский государственный аграрный университет,"г. Троицк (Челябинская обл.), ул. Гагарина, д. 13",tvi_t@mail.ru,(351) 632-58-42,"
Сайт
юургау.рф"
Аграрные,Омский государственный аграрный университет им. П.А. Столыпина,"г. Омск, Институтская площадь, д. 1",adm@omgau.ru,(3812) 65-11-46; (3812) 65-53-44 (ПК),http://www.omgau.ru/
Аграрные,Самарская государственная сельскохозяйственная академия,"г. Кинель (Самарская обл.), п. Усть-Кинельский, ул. Учебная, д. 2",ssaa@samara.ru,"(84663) 46-8-72, 46-2-42",http://www.ssaa.ru/
Аграрные,Донской государственный аграрный университет,"г. Новочеркасск (Ростовская обл.), Ростовская обл., Октябрьский р-н, пос. Персиановский",prkomis-dgau@mail.ru,(886360) 36-4-49,http://www.dongau.ru
Аграрные,Донской государственный технический университет,"г. Ростов-на-Дону (Ростовская обл.), пл. Гагарина, д. 1",reception@donstu.ru,"(863) 273-85-66, 238-17-00, 273-85-11",http://www.donstu.ru
Аграрные,Башкирский государственный аграрный университет,"г. Уфа (Башкортостан респ., Уфимский р-н), ул. 50-летия Октября, д. 34",prkombgau@mail.ru,"(347) 248-27-56, 228-07-19",http://www.bsau.ru/
Аграрные,Красноярский государственный аграрный университет,"г. Красноярск (Красноярский край), ул Елены Стасовой, д. 44",info@kgau.ru,"(391) 227-36-09, 247-21-35",http://www.kgau.ru
Аграрные,Кубанский государственный аграрный университет,"г. Краснодар, ул. Калинина, 13",mail@kubsau.ru,(861) 221-59-42; (861) 221-58-18 (ПК),http://kubsau.ru/
Аграрные,Ижевская государственная сельскохозяйственная академия,"426069, Удмуртская Республика, Ижевск, Студенческая д. 11",prk@izhgsha.ru,8(3412) 59-24-95,"
Сайт
www.izhgsha.ru"
Аграрные,Воронежский государственный университет инженерных технологий,"г. Воронеж, проспект Революции, д. 19",post@vsuet.ru; priem@vsuet.ru (ПК),(473) 255-42-67; (473) 255-28-35 (ПК),http://www.vsuet.ru/
Аграрные,Воронежский государственный аграрный университет им. императора Петра I,"г. Воронеж, ул. Мичурина, 1",rector@vsau.ru; entrance@vsau.ru (ПК),(473) 253-86-51; (473) 253 78 74 (ПК),http://www.vsau.ru/
Аграрные,Воронежский государственный лесотехнический университет имени Г. Ф. Морозова,"г. Воронеж, ул. Тимирязева, д. 8",vglta@vglta.vrn.ru; prcom@vglta.vrn.ru (ПК),(473) 253-78-47; (473) 253-71-08 (ПК),http://www.vglta.vrn.ru/
Аграрные,Волгоградский государственный аграрный университет,"г. Волгоград, пр. Университетский, д. 26",volgau@volgau.com; pricom@volgau.com (ПК),(8442) 41-17-84; (8442) 41-17-78 (ПК),http://www.volgau.com/
Аграрные,Саратовский государственный аграрный университет им. Н.И. Вавилова,"г. Саратов, Театральная пл., 1",rector@sgau.ru; pk@sgau.ru (ПК),(8452) 233292; (8452) 26-50-78 (ПК),http://www.sgau.ru/
Аграрные,Иркутский государственный аграрный университет им. А.А. Ежевского,"г. Иркутск (Иркутская обл.), Молодежный пос, д.1/1",priem@igsha.ru,"(3952) 66-31-55 , 66-41-55, 23-73-15",http://www.igsha.ru/
Аграрные,Братский государственный университет,"г. Братск (Иркутская обл.), ул. Макаренко, д. 40",cpk@brstu.ru,"(3953) 33-27-35, 32-53-14",http://brstu.ru/
Аграрные,Государственный аграрный университет Северного Зауралья,"г. Тюмень (Тюменская обл.), ул. Республики, д. 7",acadagro@mail.ru,"(3452) 46-16-43, 46-48-79, 46-10-55 (приемная комиссия)",http://www.tsaa.ru
Аграрные,Алтайский государственный аграрный университет,"Барнаул, пр-т Красноармейский, 98",rector@asau.ru; primcom@asau.ru (ПК),(3852) 62-80-46; (3852) 62-83-52 (ПК),http://www.asau.ru/
Аграрные,Байкальский государственный университет,"Иркутск, ул. Ленина, 11",info@bgu.ru; priem@bgu.ru (ПК),(3952) 28-44-28; (3952) 2-5555-2 (ПК),http://bgu.ru/
Аграрные,Приморская государственная сельскохозяйственная академия,"Уссурийск, пр. Блюхера, 44",pgsa@rambler.ru; prikom@primacad.ru (ПК),(4234) 265-460; (4234) 26-54-34 (ПК),http://www.primacad.ru/
Аграрные,Ярославская государственная сельскохозяйственная академия,"Ярославль, Тутаевское шоссе, д.58",info@yarcx.ru,(4852) 55-28-83,http://yaragrovuz.ru/
Аграрные,Дагестанский государственный аграрный университет имени М.М. Джамбулатова,"г. Махачкала (Дагестан респ.), ул. М. Гаджиева, д. 180",dgsha@list.ru,(8722) 69-35-25,http://даггау.рф
Аграрные,Национальный исследовательский Томский государственный университет,"Томск, пр. Ленина, 36",rector@tsu.ru; pk@mail.tsu.ru (ПК),(3822) 529 852; (3822) 52-96-72 (ПК),http://www.tsu.ru/
Аграрные,Рязанский государственный агротехнологический университет им. П.А. Костычева,"Рязань, ул. Костычева, д.1",university@rgatu.ru; priem@rgatu.ru,(4912) 35-88-31; (4912) 35-10-56 (ПК),http://www.rgatu.ru/
Аграрные,Оренбургский государственный аграрный университет,"г. Оренбург (Оренбургская обл.), ул. Челюскинцев, д.18",ogau@mail.esoo.ru,"(3532) 77-52-30, 77-23-50, 72-90-06",http://www.orensau.ru
Аграрные,Кузбасской государственной сельскохозяйственной академии,"Кемерово, ул. Марковцева, 5",ksai@ksai.ru; opdop@ksai.ru (ПК),(3842) 73-43-59; (3842) 73-51-35 (ПК),http://www.ksai.ru/
Аграрные,Астраханский государственный технический университет,"Астрахань, ул. Татищева, 16",astu@astu.org; astu-cdo@yandex.ru (ПК),"(8512) 61-43-00; (8512) 61-41-45, 61-41-37 (ПК)",http://www.astu.org/
Аграрные,Вятский государственный университет,"г. Киров (Кировская обл.), ул. Московская, д. 36",prcom@vyatsu.ru,"(8332) 74-29-29, 64-89-89",http://www.vyatsu.ru
Аграрные,Астраханский государственный университет,"Астрахань, ул. Татищева, 20а",asu@asu.edu.ru; metodika@asu.edu.ru (ПК),"(8512) 49-41-56; (8512) 61-08-60, 61-08-04 (ПК)",http://asu.edu.ru/
Аграрные,Вятская государственная сельскохозяйственная академия,"г. Киров (Кировская обл.), Октябрьский пр-т, д. 133",priem@vgsha.info,"(8332) 57-43-21, 54-84-88",http://www.vgsha.info
Аграрные,Пензенский государственный аграрный университет,"г. Пенза (Пензенская обл.), ул.Ботаническая 30",penz_gau@mail.ru,+7(8412) 62-81-34,https://pgau.ru/
Аграрные,Калининградский государственный технический университет,"г. Калининград (Калининградская обл.), Советский пр-т, д. 1",pk@klgtu.ru,(4012) 99-59-95,http://www.klgtu.ru
Аграрные,Ставропольский государственный аграрный университет,"г. Ставрополь (Ставропольский край), Зоотехнический пер., д. 12",inf@stgau.ru,"(8652) 35-22-82, 35-22-83",http://www.stgau.ru
Аграрные,Смоленская государственная сельскохозяйственная академия,"г. Смоленск (Смоленская обл.), ул. Б. Советская, д. 10/2",priemsgsha@mail.ru,"(481) 268-90-54, 238-75-98",http://www.sgsha.ru/
Аграрные,Белгородский государственный аграрный университет имени В.Я. Горина,"г. Белгород (Белгородская обл.), пос. Майский, ул. Вавилова, д. 1",info@bsaa.edu.ru,(4722) 39-21-79,http://bsaa.edu.ru/
Аграрные,Калужский филиал Российского государственного аграрного университета - МСХА им. К.А. Тимирязева,"г. Калуга (Калужская обл.), ул. Вишневского, д. 27",kfmsxa@kaluga.ru,"(4842) 72-50-22, 72-51-40 (приемная комиссия)",http://www.kaluga.timacad.ru
Аграрные,Сочинский филиал Российского университета дружбы народов,"г. Сочи (Краснодарский край), ул. Куйбышева, д. 32",sfrudn@rambler.ru,(8622) 41-10-43,http://www.rudn-sochi.ru/
Аграрные,Калининградский филиал СПбГАУ,"Полесск, ул. Советская, д. 10",agro@spbgau-kf.ru,"(40158) 35295, 35747",http://spbgau-kf.ru
Аграрные,Московский государственный университет пищевых производств,"125080, г. Москва, Волоколамское ш., 11",mgupp@mgupp.ru,+7(499)750-01-11,http://www.mgupp.ru
Аграрные,Крымский федеральный университет имени В. И. Вернадского,"295007, Республика Крым, г. Симферополь, просп. Академика Вернадского, д. 4.",cf_university@mail.ru,+7 (3652) 54-50-36,https://cfuv.ru/
Аграрные,Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева,"660037, Сибирский федеральный округ, Красноярский край, г. Красноярск, проспект им. газеты Красноярский рабочий, 31",priemsibsau@sibsau.ru,"+7 (391) 262-95-96, +7 (391) 291-91-75 (приемная комиссия)",https://www.sibsau.ru/
Аграрные,Московский государственный университет леса (Мытищинский филиал МГТУ им. Н. Э. Баумана),"Московская область, г. Мытищи-5, ул. 1-я Институтская, д. 1",priem@mgul.ac.ru,"8 (495) 586-93-35, 8 (498) 687-36-24",http://www.msfu.ru/
Архитектурные,Московский информационно-технологический университет – Московский архитектурно-строительный институт,"г. Москва, ул. 3-я Кабельная, д. 1",pk@masi.ru,(495) 925-53-53,http://www.masi.ru
Архитектурные,Иркутский национальный исследовательский технический университет,"г. Иркутск (Иркутская обл.), ул. Лермонтова, д. 83",cpk@istu.edu,8 800 100 5405 (приемная комиссия),http://www.istu.edu
Архитектурные,Московский государственный академический художественный институт им. В.И. Сурикова,"г. Москва, Товарищеский пер., д. 30",mgahi-rektor@rambler.ru,"(499) 763-68-87, 763-68-89, 763-68-72",http://surikov-vuz.com/
Архитектурные,Московская государственная художественно-промышленная академия им. С. Г. Строганова,"125080, г. Москва, Волоколамское шоссе, дом 9",info@mghpu.ru,(499) 158-26-05,http://www.mghpu.ru/
Архитектурные,Московский архитектурный институт (Государственная академия),"г. Москва, ул. Рождественка, д. 11, корп. 1, стр. 4",ask@markhi.ru,(495) 628-32-59,http://www.marhi.ru
Архитектурные,"Российская академия живописи, ваяния и зодчества Ильи Глазунова","г. Москва, ул. Мясницкая, д. 21",restavr2011@yandex.ru,"(495) 621-14-67, 625-06-51, 621-14-67",http://www.glazunov-academy.ru
Архитектурные,Российская международная академия туризма,"г. Химки (Московская обл.), мкрн Сходня, ул. Горького, д. 7",info@rmat.ru,"(495) 574-01-32 (приемная комиссия), 574-16-97 (очное отделение, аспирантура), 574-00-46 (вечернее,",http://www.rmat.ru
Архитектурные,Российский университет дружбы народов,"г. Москва, ул. Миклухо-Маклая, д. 6",priem@rudn.ru,"(495) 787-38-27, 433-95-88",http://www.rudn.ru
Архитектурные,Государственный университет по землеустройству,"г. Москва, ул. Казакова, д.15",priemvguz@hotmail.com,(499) 261-59-79,http://guz.ru
Архитектурные,Национальный исследовательский Московский государственный строительный университет,"г. Москва, Ярославское ш., д. 26",welcome@mgsu.ru,"(495) 781-99-88 (call-центр), 287-49-14",http://www.mgsu.ru
Архитектурные,Российский государственный аграрный университет - МСХА имени К.А. Тимирязева,"г. Москва, ул. Тимирязевская, д. 49",priem@timacad.ru,"(499) 977-14-55, 977-12-74 (приемная комиссия), (499) 976-04-80",http://www.timacad.ru
Архитектурные,Московский государственный университет геодезии и картографии,"г. Москва, Гороховский пер., д. 4",pk@miigaik.ru,(499) 267-15-45,http://www.miigaik.ru
Архитектурные,Российский государственный университет им. А.Н. Косыгина,"г. Москва, ул. Садовническая, д. 33, стр.1",priem@rguk.ru,+7(495)811-01-01 (доб. 1300),https://kosygin-rgu.ru/
Архитектурные,Санкт-Петербургский Горный университет,"г. Санкт-Петербург, 21-я линия В.О., д. 2",priem@spmi.ru,(812) 328-82-01,http://www.spmi.ru
Архитектурные,Северный (Арктический) федеральный университет имени М.В. Ломоносова,"г. Архангельск (Архангельская обл.), Северной Двины наб., д. 17",priem@narfu.ru,"(818) 221-61-07, 221-61-89",http://narfu.ru
Архитектурные,Санкт-Петербургский государственный архитектурно-строительный университет,"г. Санкт-Петербург, ул. 2-я Красноармейская, д. 4",rector@spbgasu.ru,"(812) 575-05-34, 316-20-26 (приемная комиссия)",http://www.spbgasu.ru/
Архитектурные,"Санкт-Петербургский государственный академический институт живописи, скульптуры и архитектуры имени И. Е. Репина","г. Санкт-Петербург, Университетская наб., д. 17",repinpriem@gmail.com,(812) 323-67-77(Учебный отдел),http://www.artsacademy.ru/
Архитектурные,Ленинградский государственный университет имени А. С. Пушкина,"г. Пушкин (г. Санкт-Петербург), Петербургское шоссе, д. 10",,"(812) 465-66-99, 451-94-42, 451-94-44 (приемная комиссия)",http://lengu.ru/
Архитектурные,Санкт-Петербургский государственный институт культуры,"г. Санкт-Петербург, Дворцовая наб., д. 2/4",pk@spbgik.ru,(812) 318-97-10,http://www.spbgik.ru/
Архитектурные,Санкт-Петербургский государственный лесотехнический университет им. С.М. Кирова,"Санкт-Петербург, Институтский пер.,д.5",public@spbftu.ru,"(812) 670-92-46, 670-92-97",http://spbftu.ru/
Архитектурные,Санкт-Петербургская государственная художественно-промышленная академия им. А. Л. Штиглица,"Санкт-Петербург, Соляной переулок, 13",info@ghpa.ru,(812) 273-29-93,http://www.ghpa.ru/
Архитектурные,Санкт-Петербургский государственный университет,"Санкт-Петербург, Университетская наб. д.7-9",spbu@spbu.ru,+7 (812) 328-20-00,http://spbu.ru/
Архитектурные,Российский государственный гидрометеорологический университет,"г. Санкт-Петербург, Малоохтинский пр-т, д. 98",rshu@rshu.ru,"(812) 372-50-92, 372-50-91",http://www.rshu.ru/
Архитектурные,Санкт-Петербургский институт искусств и реставрации,"Санкт-Петербург, 8-я линия В.О., д. 83А; Санкт-Петербург, ул. Куйбышева, д. 34 (ПК)",vuz-info@spbiir.ru,"8 (812) 339-44-73, 8 (800) 500-89-42",http://spbiir.ru/
Архитектурные,Новосибирский государственный аграрный университет,"г. Новосибирск (Новосибирская обл.), ул. Добролюбова, д. 160",pk@nsau.edu.ru,"(383) 347-41-14, 267-38-04, 264-16-78",http://nsau.edu.ru/
Архитектурные,Новосибирский государственный архитектурно-строительный университет (Сибстрин),"Новосибирск-8, ул. Ленинградская, 113",rector@sibstrin.ru,(383) 266-41-25,http://www.sibstrin.ru/
Архитектурные,Казанский государственный аграрный университет,"г. Казань (Татарстан респ.), ул. Карла Маркса, д. 65",info@kazgau.ru,(843) 236-65-22,http://www.kazgau.ru
Архитектурные,Казанский государственный архитектурно-строительный университет,"г. Казань (Татарстан респ.), ул. Зеленая, д. 1",info@ksaba.ru,(843) 510-46-01,http://www.kgasu.ru
Архитектурные,Уральский федеральный университет имени первого Президента России Б. Н. Ельцина,"г. Екатеринбург (Свердловская обл.), ул. Мира, д. 19",priem@urfu.ru,"8-800-100-50-44, +7 (343) 375-44-44, звонок по России бесплатный",http://urfu.ru/
Архитектурные,Уральский государственный архитектурно-художественный университет,"г. Екатеринбург (Свердловская обл.), ул. Толмачева, д. 24",priem@usaaa.ru,"(343) 371-33-69 (ректорат), 371-94-90 (приемная комиссия)",http://www.usaaa.ru/
Архитектурные,Уральский государственный лесотехнический университет,"г. Екатеринбург, Сибирский тракт, д. 37",rector@usfeu.ru; u2007u@ya.ru (ПК),343 254-65-06; (343) 254 63 06 (ПК),http://www.usfeu.ru/
Архитектурные,Уральский государственный аграрный университет,"г. Екатеринбург, ул. Карла Либкнехта, 42",academy@usaca.ru; pk-usaca@mail.ru (ПК),"(343) 371-33-63, (343) 371-03-61",http://urgau.ru/
Архитектурные,Нижегородский государственный архитектурно-строительный университет,"г. Нижний Новгород (Нижегородская обл.), ул. Ильинская, д. 65",srec@nngasu.ru,"(831) 280-84-45, 430-54-97",http://www.nngasu.ru
Архитектурные,Южно-Уральский государственный университет (национальный исследовательский университет),"г. Челябинск (Челябинская обл.), пр-т им. В.И. Ленина, д. 76",prkom@susu.ac.ru,"(351) 267-94-52, 8(800) 300-00-55",http://susu.ac.ru
Архитектурные,Магнитогорский государственный технический университет им. Г.И. Носова,"г. Магнитогорск (Челябинская обл.), пр-т Ленина, д. 38",mgtutest@magtu.ru,(3519) 29-84-02; (3519) 23-57-59,http://www.magtu.ru
Архитектурные,Южно-Уральский технологический университет,"г. Челябинск (Челябинская обл.), ул. Комаровского, д. 9а",contact@inueco.ru,"(351) 726-22-11, 731-01-10",http://inueco.ru
Архитектурные,Сибирский государственный автомобильно-дорожный университет,"г. Омск (Омская обл.), пр-т Мира, д. 5",info@sibadi.org,"(3812) 65-98-81, 65-99-88",http://www.sibadi.org
Архитектурные,Самарский государственный технический университет,"г. Самара (Самарская обл.), ул. Молодогвардейская, д. 244",postman@samgtu.ru,(846) 278-43-11,http://www.samgtu.ru
