;Регион;Город;Вуз;Номер;Сайт;Почта;Студенты;Средний балл;Общая информация
19;Москва;Москва;Школа-студия им. Вл.И. Немировича-Данченко при МХАТ им. А.П. Чехова;+74956293936;http://mhatschool.theatre.ru;mxatschool@mail.ru;261;77.49;Федеральное государственное бюджетное образовательное учреждение высшего образования «Школа-студия (институт) имени Вл.И.Немировича-Данченко при Московском Художественном академическом театре имени А.П.Чехова»
20;Москва;Москва;Институт театрального искусства;+74959557095;http://www.mos-iti.ru;info@mos-iti.ru;444;;Автономная некоммерческая организация «Образовательная организация высшего образования «Институт театрального искусства»
21;Москва;Москва;Институт международного права и экономики им. А.С. Грибоедова;+74956737417;http://www.iile.ru;impe.griboedova@mail.ru;2774;;Образовательное частное учреждение высшего образования «Институт международного права и экономики имени А.С. Грибоедова»
22;Москва;Москва;Московский социально-педагогический институт;+74999638071;http://mspi.edu.ru;info@mspi.edu.ru;1016;;Негосударственное образовательное учреждение высшего образования «Московский социально-педагогический институт»
23;Москва;Москва;Российская академия народного хозяйства и государственной службы при Президенте РФ;+74999569999;http://www.ranepa.ru;information@ranepa.ru;18889;91.36;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»
24;Москва;Москва;Московский государственный юридический университет им. О.Е. Кутафина;+74992448888;http://msal.ru;msal@msal.ru;9453;92.18;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)»
25;Москва;Москва;Национальный исследовательский Московский государственный строительный университет;+74957818007;http://www.mgsu.ru;kanz@mgsu.ru;10898;73.71;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Московский государственный строительный университет»
26;Москва;Москва;Московский государственный технический университет им. Н.Э. Баумана;+74992636391;http://bmstu.ru;bauman@bmstu.ru;21728;83.98;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)»
27;Москва;Москва;Московский государственный областной университет;+74957800943;http://mgou.ru;rectorat@mgou.ru;11023;75.32;Государственное образовательное учреждение высшего образования Московской области Московский государственный областной университет
28;Москва;Москва;Московский физико-технический институт;+74954084554;http://mipt.ru;info@mipt.ru;6483;97.52;Федеральное государственное автономное образовательное учреждение высшего образования «Московский физико-технический институт (национальный исследовательский университет)»
29;Москва;Москва;Российский национальный исследовательский медицинский университет им. Н.И. Пирогова;+74954341422;http://www.rsmu.ru;rsmu@rsmu.ru;8225;90.65;Федеральное государственное автономное образовательное учреждение высшего образования «Российский национальный исследовательский медицинский университет имени Н.И. Пирогова» Министерства здравоохранения Российской Федерации
30;Москва;Москва;Московский государственный институт международных отношений МИД РФ;+74952294049;http://www.mgimo.ru;portal@inno.mgimo.ru;8518;96.47;Федеральное государственное автономное образовательное учреждение высшего образования «Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации»
31;Москва;Москва;Российский экономический университет им. Г.В. Плеханова;+78002000836;http://rea.ru;rector@rea.ru;17787;91.7;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский экономический университет имени Г.В. Плеханова»
32;Москва;Москва;Российский университет дружбы народов;+74999368787;http://www.rudn.ru;information@rudn.ru;23874;82.65;Федеральное государственное автономное  образовательное учреждение высшего образования «Российский университет дружбы народов»
33;Москва;Москва;Московский инновационный университет;+78002501091;http://miu-edu.ru;moscow.priem@mail.ru;655;;Образовательное частное учреждение высшего образования «Московский инновационный университет»
34;Москва;Москва;Московский открытый институт;+74952252335;http://moi.edu.ru;pk@moi.edu.ru;827;;Образовательная автономная некоммерческая организация высшего образования «Московский открытый институт»
35;Москва;Москва;Институт современного искусства;+74952368878;http://www.isi-vuz.ru;rector@isi-vuz.ru;1767;;Автономная некоммерческая организация высшего образования «Институт современного искусства»
36;Москва;Москва;Московский авиационный институт;+74991584333;http://mai.ru;mai@mai.ru;18959;75;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский авиационный институт (национальный исследовательский  университет)»
37;Москва;Москва;Государственный университет по землеустройству;+74992615979;http://www.guz.ru;info@guz.ru;4078;70.38;Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный университет по землеустройству»
38;Москва;Москва;Московский городской педагогический университет;+74991812462;http://www.mgpu.ru;info@mgpu.ru;13576;80.86;Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»
39;Москва;Москва;Московский государственный университет геодезии и картографии;+74993227800;http://miigaik.ru;portal@miigaik.ru;3873;72.41;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет геодезии и картографии»
40;Москва;Москва;Национальный исследовательский университет «МЭИ»;+74953627560;http://mpei.ru;universe@mpei.ac.ru;14069;72.97;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский университет «МЭИ»
41;Москва;Москва;Финансовый университет при Правительстве РФ;+74999439855;http://fa.ru;academy@fa.ru;19337;88.7;Федеральное государственное образовательное бюджетное учреждение высшего образования «Финансовый университет при Правительстве Российской Федерации»
42;Москва;Москва;Московская государственная академия ветеринарной медицины и биотехнологии им. К.И. Скрябина;+74953779117;http://mgavm.ru;rector@mgavm.ru;3362;77.93;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная академия ветеринарной медицины и биотехнологии – МВА имени К.И. Скрябина»
43;Москва;Москва;Московский государственный технологический университет Станкин;+74999733076;http://www.stankin.ru;rector@stankin.ru;4105;70;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технологический университет «СТАНКИН»
44;Москва;Москва;Московский государственный медико-стоматологический университет им. А.И. Евдокимова;+74956096700;http://www.msmsu.ru;msmsu@msmsu.ru;7404;78.68;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный медико-стоматологический университет имени А.И. Евдокимова» Министерства здравоохранения Российской Федерации
45;Москва;Москва;Российская академия музыки им. Гнесиных;+74956911554;http://www.gnesin-academy.ru;mailbox@gnesin-academy.ru;1625;80.79;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская академия музыки имени Гнесиных»
46;Москва;Москва;Российский государственный университет физической культуры, спорта, молодежи и туризма;+74959613111;http://www.sportedu.ru;rectorat@rgufk.ru;6049;72.15;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный университет физической культуры, спорта, молодежи и туризма (ГЦОЛИФК)»
47;Москва;Москва;Российский государственный гуманитарный университет;+74952506118;http://rggu.ru;rsuh@rsuh.ru;14818;85.01;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный гуманитарный университет»
48;Москва;Москва;Российский государственный университет правосудия;+74953325351;http://rgup.ru;evv@rsuj.ru;3570;88.24;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный университет правосудия»
49;Москва;Москва;Государственный институт русского языка им. А.С. Пушкина;+74953308801;http://pushkin.institute;inbox@pushkin.institute.edu.ru;616;90.95;Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный институт русского языка им. А.С. Пушкина»
50;Москва;Москва;Московский художественно-промышленный институт;+74959210327;http://www.mhpi.edu.ru;newstudent@mhpi.edu.ru;464;;Учреждение высшего образования «Московский художественно-промышленный институт»
51;Москва;Москва;Академия труда и социальных отношений;+74994323381;http://www.atiso.ru;rector@atiso.ru;1810;;Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»
52;Москва;Москва;Московский финансово-юридический университет;+74952211001;http://mfua.ru;post@mfua.ru;9974;70.34;Аккредитованное образовательное частное учреждение высшего образования «Московский финансово-юридический университет МФЮА»
53;Москва;Москва;Московский государственный лингвистический университет;+74956375597;http://www.linguanet.ru;info@linguanet.ru;6369;88.73;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный лингвистический университет»
54;Москва;Москва;Всероссийский государственный университет юстиции;+74999630101;http://rpa-mu.ru;rpa@rpa-mjust.ru;2044;86.46;Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»
55;Москва;Москва;Российский химико-технологический университет им. Д.И. Менделеева;+74999788660;http://muctr.ru;pochta@muctr.ru;5948;79.94;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский химико-технологический университет имени Д.И. Менделеева»
56;Москва;Москва;Московский государственный институт физической культуры, спорта и туризма им. Ю.А. Сенкевича;+74954549292;http://mgiit.ru;box@mgiit.ru;1056;73.36;Государственное автономное образовательное учреждение высшего образования города Москвы «Московский государственный институт физической культуры, спорта и туризма имени Ю.А. Сенкевича»
57;Москва;Москва;Институт мировых цивилизаций;+78002347720;http://imc-i.ru;info@imc-i.ru;3198;;Негосударственная автономная некоммерческая организация высшего образования «Институт мировых цивилизаций»
58;Москва;Москва;Московский государственный гуманитарно-экономический университет;+74991602206;http://mggeu.ru;info@mggeu.ru;1116;74.12;Федеральное государственное бюджетное образовательное учреждение инклюзивного высшего образования «Московский государственный гуманитарно-экономический университет»
59;Москва;Москва;Российский государственный университет нефти и газа им. И. М. Губкина;+74955078888;http://gubkin.ru;com@gubkin.ru;9204;83.32;Федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина»
60;Москва;Москва;Московская государственная академия хореографии;+74992428611;http://balletacademy.ru;balletacademy@yandex.ru;184;80.64;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная академия  хореографии»
61;Москва;Москва;Первый Московский государственный медицинский университет им. И.М. Сеченова;+74992480553;http://sechenov.ru;rektorat@sechenov.ru;15903;83.83;Федеральное государственное автономное образовательное учреждение высшего образования Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет)
62;Москва;Москва;Московский архитектурный институт;+74956255082;http://marhi.ru;office@markhi.ru;2676;73.86;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский архитектурный институт (государственная академия)»
63;Москва;Москва;Московский автомобильно-дорожный государственный технический университет;+74993460168;http://www.madi.ru;info@madi.ru;9179;62.52;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский автомобильно-дорожный государственный технический университет (МАДИ)»
64;Москва;Москва;Московский государственный университет технологий и управления им. К.Г. Разумовского;+74956405436;http://www.mgutm.ru;kantselyariya@mgutm.ru;9466;73.65;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)»
65;Москва;Москва;Московский государственный университет им. М.В. Ломоносова;+74959391000;http://msu.ru;info@rector.msu.ru;34838;89.78;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В. Ломоносова»
66;Москва;Москва;Свято-Филаретовский православно-христианский институт;+74956230380;http://sfi.ru;info@sfi.ru;220;;Частное образовательное учреждение высшего образования «Свято-Филаретовский православно-христианский институт»
67;Москва;Москва;Национальный институт дизайна;+74955451395;http://nid-design.org;nounid@mail.ru;394;93.3;Автономная некоммерческая организация высшего образования «Национальный институт дизайна»
68;Москва;Москва;Государственный университет управления;+74953778914;http://guu.ru;inf@guu.ru;9177;82.72;Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный университет управления»
69;Москва;Москва;Литературный институт им. А.М. Горького;+74956940678;http://litinstitut.ru;rectorat@litinstitut.ru;684;87.9;Федеральное государственное бюджетное образовательное учреждение высшего образования «Литературный институт имени А.М. Горького»
70;Москва;Москва;Институт стран Востока;+74956251604;http://www.orun.ru;ou@orun.ru;222;;Образовательное частное учреждение высшего образования «Институт стран Востока»
71;Москва;Москва;Институт кино и телевидения;+74957876511;http://gitr.ru;mail@gitr.ru;1970;;Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»
72;Москва;Москва;Российский государственный аграрный университет – МСХА им. К.А. Тимирязева;+74999760480;http://www.timacad.ru;info@rgau-msha.ru;13753;64.98;Федеральное государственное бюджетное образовательное учреждение  высшего образования «Российский государственный аграрный университет – МСХА имени К.А. Тимирязева»
73;Москва;Москва;Московский государственный технический университет гражданской авиации;+74994587547;http://mstuca.ru;info@mstuca.aero;3812;64.24;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технический университет гражданской авиации» (МГТУ ГА)
74;Москва;Москва;Московский педагогический государственный университет;+74992450310;http://mpgu.su;mail@mpgu.su;20530;71.99;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский педагогический государственный университет»
75;Москва;Москва;Национальный институт бизнеса;+74993746801;http://www.nibmoscow.ru;n_i_b@mail.ru;3099;;Автономная некоммерческая организация высшего образования «Национальный институт бизнеса»
76;Москва;Москва;Московский университет МВД РФ им. В.Я. Кикотя;+74953362244;http://мосу.мвд.рф;support_mosu@mvd.ru;;;Федеральное государственное казенное образовательное учреждение высшего образования «Московский университет Министерства внутренних дел Российской Федерации имени В.Я. Кикотя»
77;Москва;Москва;Московский информационно-технологический университет - Московский архитектурно-строительный институт;+74999790099;http://mitu-masi.ru;info@masi.ru;2643;;Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет - Московский архитектурно-строительный институт»
78;Москва;Москва;Военный университет Минобороны РФ;+74956990816;http://vumo.mil.ru;vu-nu@mil.ru;;;Федеральное государственное казенное военное образовательное учреждение высшего образования «Военный университет» Министерства обороны Российской Федерации
79;Москва;Москва;Академия хорового искусства им. В.С. Попова;+74959889956;http://www.axu.ru;info@axu.ru;131;98;Федеральное государственное бюджетное образовательное учреждение высшего образования «Академия хорового искусства имени  В.С. Попова»
80;Москва;Москва;Всероссийский государственный институт кинематографии им. С.А. Герасимова;+74991811314;http://www.vgik.info;mail@vgik.info;1559;79.63;Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт  кинематографии имени С.А. Герасимова»
81;Москва;Москва;Театральный институт им. Б. Щукина;+74992415644;http://htvs.ru;sh-tea-inst@mail.ru;366;69.7;Федеральное государственное бюджетное образовательное учреждение высшего образования «Театральный институт имени Бориса Щукина при Государственном академическом театре имени Евгения Вахтангова»
82;Москва;Москва;Дипломатическая академия МИД России;+74999401355;http://www.dipacademy.ru;info.rector@mail.ru;1423;92.94;Федеральное государственное бюджетное образовательное учреждение высшего образования «Дипломатическая академия Министерства иностранных дел Российской Федерации»
83;Москва;Москва;Институт гуманитарного образования и информационных технологий;+74956038577;http://www.igumo.ru;capital@igumo.ru;583;;Автономная некоммерческая организация высшего образования «Институт гуманитарного образования и информационных технологий»
84;Москва;Москва;Институт международной торговли и права;+74991440125;http://www.imtp.ru;imtp@imtp.ru;164;;Частное образовательное учреждение высшего образования  Институт международной торговли и права
85;Москва;Москва;Российский государственный геологоразведочный университет им. С. Орджоникидзе;+74954335577;http://mgri-rggru.ru;office@mgri-rggru.ru;4278;65.31;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный геологоразведочный университет имени Серго Орджоникидзе»
86;Москва;Москва;Московская государственная консерватория им. П.И. Чайковского;+74956292060;http://mosconsv.ru;rectorat@mosconsv.ru;1292;81.65;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная консерватория имени П.И.Чайковского»
87;Москва;Москва;Московский государственный институт музыки им. А.Г. Шнитке;+74991948389;http://schnittke-mgim.ru;info@schnittke.ru;259;86.99;Государственное бюджетное образовательное учреждение высшего образования города Москвы «Московский государственный институт музыки имени А.Г. Шнитке»
88;Москва;Москва;Российский университет транспорта;+74956811340;http://miit.ru;info@rut-miit.ru;29411;66.05;Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет транспорта»
89;Москва;Москва;Московская государственная художественно-промышленная академия им. С.Г. Строганова;+74991587071;http://mghpu.ru;info@mghpu.ru;1643;81.29;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная художественно-промышленная академия им. С.Г. Строганова»
90;Москва;Москва;Российский институт театрального искусства – ГИТИС;+74956905225;http://gitis.net;info@gitis.net;1653;74.38;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский институт театрального искусства - ГИТИС»
91;Москва;Москва;Российская государственная академия интеллектуальной собственности;+74953301083;http://www.rgiis.ru;info@rgiis.ru;597;80.15;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская государственная академия интеллектуальной собственности»
92;Москва;Москва;Московский институт современного академического образования;+74955405753;http://misaoinst.ru;info@misaoinst.ru;985;;Автономная некоммерческая организация высшего образования «Московский институт современного академического образования»
93;Москва;Москва;Международный юридический институт;+74956102000;http://lawacademy.ru;main@lawinst.ru;2276;;Образовательное частное учреждение высшего образования «Международный юридический институт»
94;Москва;Москва;Еврейский университет;+74957369270;http://uni21.org;info@uni21.org;102;;Образовательное частное учреждение высшего образования «Еврейский Университет»
95;Москва;Москва;Высшая школа народных искусств — филиал в г. Москва;+74953952767;http://www.itpi-mf.ru;info@itpi-mf.ru;108;80;Институт традиционного прикладного искусства - Московский филиал федерального государственного бюджетного образовательного учреждения высшего образования  «Высшая школа народных искусств (академия)»
96;Москва;Москва;Московская высшая школа социальных и экономических наук;+74951508091;http://www.msses.ru;common@universitas.ru;297;;Образовательная автономная некоммерческая организация высшего образования «Московская высшая школа социальных и экономических наук»
97;Москва;Москва;Высшая школа сценических искусств;+74956003944;http://school-raikin.com;assistant@raikin-school.com;117;;Негосударственное образовательное частное учреждение высшего образования «Высшая школа сценических искусств»
98;Москва;Москва;Институт непрерывного образования;+74957480040;http://www.7480040.ru;ino@icone.ru;21;;Автономная некоммерческая организация высшего образования «Институт непрерывного образования»
