;Вуз;Адрес;e-mail;Телефон;Сайт;Категории;Url;Url_With_Coordinates;lat;long
10;Академия федеральной службы безопасности Российской Федерации;г. Москва, Мичуринский пр-т, д. 70;info@academy.fsb.ru;(495) 931-10-11;http://www.academy.fsb.ru;ФСБ,Гуманитарные,Информационные,Юридические;https://www.google.com/maps/search/г. Москва, Мичуринский пр-т, д. 70;https://maps.google.com/maps/api/staticmap?center=55.683601%2C37.4697781&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=bSFeJXjgOIqAap9dnQRA7rPAu5k;55.683601;37.4697781
11;Академия хорового искусства им. В.С. Попова;г. Москва, улица Фестивальная, дом 2;info@axu.ru;+7 495 988-9956;"
Сайт
axu.ru";Вузы культуры;https://www.google.com/maps/search/г. Москва, улица Фестивальная, дом 2;https://maps.google.com/maps/api/staticmap?center=55.8551968%2C37.4781526&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=CIR4qQ1xhOdRR2Av3n7MvMyhQ1M;55.8551968;37.4781526
12;Алтайский государственный аграрный университет;Барнаул, пр-т Красноармейский, 98;"rector@asau.ru; primcom@asau.ru (ПК)";"(3852) 62-80-46; (3852) 62-83-52 (ПК)";http://www.asau.ru/;Аграрные,Биологические,Гуманитарные,Географические,Экономические,Медицинские,Технические,Транспортные,Пищевые;https://www.google.com/maps/search/Барнаул, пр-т Красноармейский, 98;https://maps.google.com/maps/api/staticmap?center=53.343946%2C83.768579&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=DjHdGhBY2ZdqvE34sHV0aJfUfKg;53.343946;83.768579
13;Алтайский государственный институт культуры;г. Барнаул (Алтайский край), ул. Юрина, д. 277;priem@agaki.ru;(385) 254-73-59;http://www.altgaki.org/;Вузы культуры,Гуманитарные,Дизайна,Информационные,Сервиса;https://www.google.com/maps/search/г. Барнаул (Алтайский край), ул. Юрина, д. 277;https://maps.google.com/maps/api/staticmap?center=53.368294%2C83.684181&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Xopu1JfSZlXz6Kn4OVvK7P5cPjY;53.368294;83.684181
14;Алтайский государственный медицинский университет;г. Барнаул (Алтайский край), пр-т Ленина, д. 40;priem.agmu@mail.ru;+7(3852) 566-900;https://asmu.ru/;Медицинские;https://www.google.com/maps/search/г. Барнаул (Алтайский край), пр-т Ленина, д. 40;https://maps.google.com/maps/api/staticmap?center=53.342725%2C83.78336&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=9nRZp-AAy9RbZD1aj8mPO5yjzIM;53.342725;83.78336
15;Алтайский государственный педагогический университет;г. Барнаул (Алтайский край), ул. Молодежная, д. 55;pricom@uni-altai.ru;(385) 262-95-39;http://www.altspu.ru/;Вузы культуры,Гуманитарные,Информационные,Педагогические,Сервиса,Спортивные,Психологические;https://www.google.com/maps/search/г. Барнаул (Алтайский край), ул. Молодежная, д. 55;https://maps.google.com/maps/api/staticmap?center=53.341733%2C83.760878&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=72R_ifrxcnohW5OXkKWDfCNT5w8;53.341733;83.760878
16;Алтайский государственный технический университет им. И.И. Ползунова;г. Барнаул (Алтайский край), пр-т Ленина, д. 46;altgtu@list.ru;"(3852) 29-07-10 ; 29-07-06";http://www.altstu.ru;Архитектурные,Биологические,Гуманитарные,Дизайна,Информационные,Экономические,Строительные,Технические,Транспортные,Пищевые;https://www.google.com/maps/search/г. Барнаул (Алтайский край), пр-т Ленина, д. 46;https://maps.google.com/maps/api/staticmap?center=53.345207%2C83.7822561&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=tYbq3d5FDdDm3qtlUUJXtpKuaog;53.345207;83.7822561
17;Алтайский государственный университет;Барнаул, пр. Ленина, 61;"rector@asu.ru; prcom@asu.ru (ПК)";"(3852) 291-291; (3852) 29-12-22 (ПК)";http://www.asu.ru/;Архитектурные,Биологические,Вузы культуры,Гуманитарные,Информационные,Географические,Экономические,Медицинские,Педагогические,Сервиса,Строительные,Психологические,Юридические;https://www.google.com/maps/search/Барнаул, пр. Ленина, 61;https://maps.google.com/maps/api/staticmap?center=53.347473%2C83.775702&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=zzYD58nDSmy_76Cd-nwPOPNFXkw;53.347473;83.775702
18;Алтайский институт экономики (филиал СПбУТУиЭ);Барнаул, проспект Ленина, дом 106е;alt-ime@mail.ru;(3852) 36-10-55 (ПК);http://altame.ru/;Гуманитарные,Экономические,Юридические;https://www.google.com/maps/search/Барнаул, проспект Ленина, дом 106е;https://maps.google.com/maps/api/staticmap?center=53.3660388%2C83.7601039&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=X2wwzxOiXKNjTnfLuXWxMI36p8Q;53.3660388;83.7601039
19;Алтайский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Барнаул (Алтайский край), ул. Партизанская, д. 187;select@alt.ranepa.ru;(385) 220-22-07;http://alt.ranepa.ru/;Гуманитарные,Экономические,Педагогические,Юридические;https://www.google.com/maps/search/г. Барнаул (Алтайский край), ул. Партизанская, д. 187;https://maps.google.com/maps/api/staticmap?center=53.3322579%2C83.7664527&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=iRtt_n7r6Bc7--D8sAP7QkiBIDk;53.3322579;83.7664527
20;"Альметьевский филиал ""ТИСБИ""";Альметьевск, ул. Ленина, д. 1б;tisbi_al@mail.ru;(8553) 43-87-51;http://almet-tisbi.ru;Экономические,Педагогические,Юридические;https://www.google.com/maps/search/Альметьевск, ул. Ленина, д. 1б;https://maps.google.com/maps/api/staticmap?center=54.9036987%2C52.3160911&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=9gLwTmu3-cFBDwDzs7F0fgl1b_Y;54.9036987;52.3160911
21;Ангарский государственный технический университет;Ангарск, ул. Чайковского, д. 60;priem@angtu.ru (ПК);"(3955) 67-18-32; (3955) 67-34-17 (ПК)";http://angtu.ru/;Биологические,Гуманитарные,Информационные,Экономические,Строительные,Технические,Транспортные;https://www.google.com/maps/search/Ангарск, ул. Чайковского, д. 60;https://maps.google.com/maps/api/staticmap?center=52.5278093%2C103.864509&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Gb4X6BYGDtn_x6oArBmHxy_czXw;52.5278093;103.864509
22;Арзамасский политехнический институт Нижегородского Государственного Политехнического Университета им. Р.Е. Алексеева;г. Арзамас (Нижегородская обл.), ул. Калинина, д.19;glebov@apingtu.edu.ru;(831) 474-18-16;http://www.apingtu.edu.ru/;Информационные,Технические;https://www.google.com/maps/search/г. Арзамас (Нижегородская обл.), ул. Калинина, д.19;https://maps.google.com/maps/api/staticmap?center=55.39963%2C43.8206908&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=R081xNf9urAQLa4MO7_QrUsV4nE;55.39963;43.8206908
23;Арзамасский филиал Нижегородского государственного университета им. Н.И. Лобачевского;г. Арзамас (Нижегородская обл.), ул. Карла Маркса, д. 36;priem@arz.unn.ru;(83147) 9-45-69;http://www.arz.unn.ru;Гуманитарные,Экономические,Педагогические,Сервиса,Спортивные,Технические,Психологические,Юридические;https://www.google.com/maps/search/г. Арзамас (Нижегородская обл.), ул. Карла Маркса, д. 36;https://maps.google.com/maps/api/staticmap?center=55.3928691%2C43.8213902&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=y0OHHCO17XkkM_gsDpmjeRLfuG0;55.3928691;43.8213902
24;Армавирский государственный педагогический университет;г. Армавир (Краснодарский край), ул. Карла Маркса, д. 49;rektoragpu@mail.ru;(86137) 3-20-06, 4-01-71, 3-35-60;http://www.agpu.net;Гуманитарные,Дизайна,Информационные,Экономические,Педагогические,Психологические;https://www.google.com/maps/search/г. Армавир (Краснодарский край), ул. Карла Маркса, д. 49;https://maps.google.com/maps/api/staticmap?center=45.000501%2C41.1268339&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=IWnruxH5icpwiSQrDdkQlFdGQ58;45.000501;41.1268339
25;Армавирский лингвистический социальный институт;г. Армавир, ул. Кирова, 22-24;info@alsivuz.ru;"(86137) 3-34-51; (86137) 3-34-30 (ПК)";http://alsivuz.ru/;Гуманитарные,Педагогические,Юридические;https://www.google.com/maps/search/г. Армавир, ул. Кирова, 22-24;https://maps.google.com/maps/api/staticmap?center=45.003921%2C41.134107&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=XaauzA1h0Zpmh1hfVPyVtJtanoo;45.003921;41.134107
26;Астраханская государственная консерватория;Астрахань, ул. Советская, 23;"astracons@mail.ru; priemagk@mail.ru (ПК)";"(8512) 51-93-11; (8512) 51-68-29 (ПК)";http://astracons.ru/;Вузы культуры;https://www.google.com/maps/search/Астрахань, ул. Советская, 23;https://maps.google.com/maps/api/staticmap?center=46.349021%2C48.0444828&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=tkysSghwr8ifDme6M-CnMZZV1rk;46.349021;48.0444828
27;Астраханский государственный архитектурно-строительный университет;Астрахань, ул. Татищева, 18;buildinst@mail.ru (ПК);"(8512) 49-42-15; (8512) 49-98-67 (ПК)";http://агасу.рф/;Архитектурные,Дизайна,Информационные,Географические,Экономические,Строительные,Технические,Нефтяные;https://www.google.com/maps/search/Астрахань, ул. Татищева, 18;https://maps.google.com/maps/api/staticmap?center=46.376477%2C48.052458&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=wTwdCVsExrIQVMmerST8JZpbgN4;46.376477;48.052458
28;Астраханский государственный медицинский университет;г. Астрахань (Астраханская обл.), Бакинская ул., д. 121;agma@astranet.ru;(8512) 52-41-43;http://astgmu.ru/;Медицинские,Психологические;https://www.google.com/maps/search/г. Астрахань (Астраханская обл.), Бакинская ул., д. 121;https://maps.google.com/maps/api/staticmap?center=46.341633%2C48.039354&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Z9UfY3FGwMxnPGUCzqmWkC2uCnE;46.341633;48.039354
29;Астраханский государственный технический университет;Астрахань, ул. Татищева, 16;"astu@astu.org; astu-cdo@yandex.ru (ПК)";"(8512) 61-43-00; (8512) 61-41-45, 61-41-37 (ПК)";http://www.astu.org/;Аграрные,Архитектурные,Биологические,Гуманитарные,Информационные,Географические,Экономические,Сервиса,Строительные,Технические,Нефтяные,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/Астрахань, ул. Татищева, 16;https://maps.google.com/maps/api/staticmap?center=46.3754223%2C48.0539313&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=NoG0tsmtPbofbUVtKjtdrs-jFD0;46.3754223;48.0539313
30;Астраханский государственный университет;Астрахань, ул. Татищева, 20а;"asu@asu.edu.ru; metodika@asu.edu.ru (ПК)";"(8512) 49-41-56; (8512) 61-08-60, 61-08-04 (ПК)";http://asu.edu.ru/;Аграрные,Архитектурные,Биологические,Гуманитарные,Дизайна,Информационные,Географические,Экономические,Медицинские,Педагогические,Сервиса,Технические,Нефтяные,Психологические,Юридические;https://www.google.com/maps/search/Астрахань, ул. Татищева, 20а;https://maps.google.com/maps/api/staticmap?center=46.377893%2C48.052638&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=EVve3D0CCeW2keNaND2XB4jtlUo;46.377893;48.052638
31;Астраханский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Астрахань (Астраханская обл.), ул. Богдана Хмельницкого, д. 33, корп.1;Pk.afranepa@mail.ru;(8512) 34–35–73, 33-53-33;http://www.afvags.ru;Гуманитарные,Экономические;https://www.google.com/maps/search/г. Астрахань (Астраханская обл.), ул. Богдана Хмельницкого, д. 33, корп.1;https://maps.google.com/maps/api/staticmap?center=46.3353138%2C48.0243467&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=qtrDq2ypYiha302jppnceHKACE8;46.3353138;48.0243467
32;Ахтубинский филиал «Взлет» Московского авиационного института (национального исследовательского университета);г. Ахтубинск (Астраханская обл., Ахтубинский р-н), ул. Добролюбова, д. 5;vzlet-mai@mail.ru;(85141) 5-28-26;http://mai.ru/education/vzlet/;Авиационные,Гуманитарные,Технические;https://www.google.com/maps/search/г. Ахтубинск (Астраханская обл., Ахтубинский р-н), ул. Добролюбова, д. 5;https://maps.google.com/maps/api/staticmap?center=48.2902853%2C46.1653177&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=NuRYsX8tuBLhYB0mDBP_yh9sPaQ;48.2902853;46.1653177
33;Байкальский государственный университет;Иркутск, ул. Ленина, 11;"info@bgu.ru; priem@bgu.ru (ПК)";"(3952) 28-44-28; (3952) 2-5555-2 (ПК)";http://bgu.ru/;Аграрные,Вузы культуры,Гуманитарные,Информационные,Географические,Экономические,Педагогические,Сервиса,Строительные,Психологические,Юридические;https://www.google.com/maps/search/Иркутск, ул. Ленина, 11;https://maps.google.com/maps/api/staticmap?center=52.280846%2C104.2821905&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=kJozva6W22urJAQw7SgC_8EgVP4;52.280846;104.2821905
34;Байконурский филиал «Восход» Московского авиационного института (национального исследовательского университета);Байконур (Казахстан), пр-т Гагарина, д. 5;voshod.pk@mail.ru;(336) 225-15-22, 225-14-43;http://www.mai.ru/education/voshod/;Авиационные,Гуманитарные,Информационные,Технические;https://www.google.com/maps/search/Байконур (Казахстан), пр-т Гагарина, д. 5;https://maps.google.com/maps/api/staticmap?center=45.62366145%2C63.30769665&zoom=14&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=1X-iBfHGZFQJageEu6wxvClq4RM;45.62366145;63.30769665
35;Балаковский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Балаково (Саратовская обл.), ул. Чапаева, д. 107;pcom.ranhigs.bf@gmail.com;(8453) 44-27-13, 44-13-71;http://blk.ranepa.ru/;Гуманитарные,Информационные,Экономические,Юридические;https://www.google.com/maps/search/г. Балаково (Саратовская обл.), ул. Чапаева, д. 107;https://maps.google.com/maps/api/staticmap?center=52.0323733%2C47.7729308&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=7twl3TIdI5xKNGZVe6mkd9XYKlw;52.0323733;47.7729308
36;Балтийская академия туризма и предпринимательства;Санкт-Петербург, улица Петрозаводская,  дом 13, лит. А;priem@batp.ru;(812) 235-41-09;http://batp.ru/;Гуманитарные,Сервиса;https://www.google.com/maps/search/Санкт-Петербург, улица Петрозаводская,  дом 13, лит. А;https://maps.google.com/maps/api/staticmap?center=59.9648163%2C30.2888253&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=LYTb1rDPdPg50XGJqhqoElaW8H8;59.9648163;30.2888253
37;Балтийская государственная академия рыбопромыслового флота Калининградского государственного технического университета;г. Калининград (Калининградская обл.), ул. Молодежная, д. 6;abiturient@bga.gazinter.net;(4012) 92-51-62, 92-51-63;http://bgarf.ru;Биологические,Информационные,Технические,Транспортные;https://www.google.com/maps/search/г. Калининград (Калининградская обл.), ул. Молодежная, д. 6;https://maps.google.com/maps/api/staticmap?center=54.738638%2C20.514259&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=wcMbyTuUscDjqQyzBnRQGDBDI7U;54.738638;20.514259
38;Балтийский государственный технический университет «ВОЕНМЕХ» имени Д. Ф. Устинова;г. Санкт-Петербург, ул. 1-я Красноармейская, д. 1;admission@voenmeh.ru (Приемная комиссия) ,  acoms@bstu.spb.su;(812) 495-77-99 (приемная комиссия), (812) 495-77-59 (курсы);https://priem.voenmeh.ru/;Авиационные,Биологические,Военные,Гуманитарные,Информационные,Экономические,Психологические,Транспортные;https://www.google.com/maps/search/г. Санкт-Петербург, ул. 1-я Красноармейская, д. 1;https://maps.google.com/maps/api/staticmap?center=59.9163549%2C30.317263&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=TcTmKDulAqtKU1qy2BR-_VNHctQ;59.9163549;30.317263
39;Балтийский федеральный университет имени Иммануила Канта;г. Калининград (Калининградская обл.), ул. Александра Невского, д. 14;abiturient@kantiana.ru;(4012) 595-596, 466-422;http://www.kantiana.ru/;Биологические,Гуманитарные,Дизайна,Информационные,Географические,Экономические,Медицинские,Педагогические,Сервиса,Спортивные,Строительные,Транспортные,Юридические;https://www.google.com/maps/search/г. Калининград (Калининградская обл.), ул. Александра Невского, д. 14;https://maps.google.com/maps/api/staticmap?center=54.7247757%2C20.5279866&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=qGS7ETUxsOm-wnpY89qHjETRktU;54.7247757;20.5279866
40;Барнаульский филиал Финансового университета при Правительстве Российской Федерации;г. Барнаул (Алтайский край), пр-т Ленина, 54;pr.barnaul@fa.ru;(3852) 36-83-63 (приемная директора), (3852) 36-73-61 (приемная комиссия);http://barnaul.fa.ru;Гуманитарные,Экономические;https://www.google.com/maps/search/г. Барнаул (Алтайский край), пр-т Ленина, 54;https://maps.google.com/maps/api/staticmap?center=53.3463964%2C83.7792752&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=-8aMPI498PossqUVpKc2lKY1T64;53.3463964;83.7792752
41;Башкирская академия государственной службы и управления при Главе Республики Башкортостан;г. Уфа (Башкортостан респ., Уфимский р-н), ул. Заки Валиди, д. 40;pk@bagsurb.ru;(347) 273-72-92;http://pk.bagsurb.ru/;Гуманитарные,Экономические,Юридические;https://www.google.com/maps/search/г. Уфа (Башкортостан респ., Уфимский р-н), ул. Заки Валиди, д. 40;https://maps.google.com/maps/api/staticmap?center=54.717822%2C55.946345&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=NVGlnk-vPulV88fTLgyHxjYii08;54.717822;55.946345
42;Башкирский государственный аграрный университет;г. Уфа (Башкортостан респ., Уфимский р-н), ул. 50-летия Октября, д. 34;prkombgau@mail.ru;(347) 248-27-56, 228-07-19;http://www.bsau.ru/;Аграрные,Архитектурные,Биологические,Информационные,Географические,Экономические,Медицинские,Строительные,Транспортные,Пищевые;https://www.google.com/maps/search/г. Уфа (Башкортостан респ., Уфимский р-н), ул. 50-летия Октября, д. 34;https://maps.google.com/maps/api/staticmap?center=54.738458%2C55.9835039&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=HE66BXxWtSJ9Xgsllsu0VF2hpt4;54.738458;55.9835039
43;Башкирский государственный медицинский университет;г. Уфа (Башкортостан респ., Уфимский р-н), ул. Ленина, д. 3;priemka_bashgmu@mail.ru;(347) 272-92-31 (приемная комиссия);http://www.bashgmu.ru;Медицинские;https://www.google.com/maps/search/г. Уфа (Башкортостан респ., Уфимский р-н), ул. Ленина, д. 3;https://maps.google.com/maps/api/staticmap?center=54.7211542%2C55.9442251&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=GPcXBu7j2LriVmtzoRiCl1fiYv0;54.7211542;55.9442251
44;Башкирский государственный педагогический университет им. М. Акмуллы;г. Уфа (Башкортостан респ., Уфимский р-н), ул. Октябрьской революции, д. 3а;bspu.pk@mail.ru;(347) 272-11-16, 272-58-05;http://www.bspu.ru;Биологические,Гуманитарные,Дизайна,Информационные,Педагогические,Спортивные,Психологические;https://www.google.com/maps/search/г. Уфа (Башкортостан респ., Уфимский р-н), ул. Октябрьской революции, д. 3а;https://maps.google.com/maps/api/staticmap?center=54.7240191%2C55.9475343&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=U3xaGcoe-MVG73dwW7uiuz8rkpc;54.7240191;55.9475343
45;Башкирский государственный университет;г. Уфа (Башкортостан респ., Уфимский р-н), ул. Заки Валиди, д. 32;abiturient-bsu@yandex.ru;(347) 229-97-21;http://www.bashedu.ru;Биологические,Вузы культуры,Гуманитарные,Информационные,Географические,Экономические,Медицинские,Педагогические,Сервиса,Нефтяные,Психологические,Транспортные,Юридические;https://www.google.com/maps/search/г. Уфа (Башкортостан респ., Уфимский р-н), ул. Заки Валиди, д. 32;https://maps.google.com/maps/api/staticmap?center=54.7201507%2C55.9378274&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=EG_6PSV5kR9C0YmV0cGEDJFUlUw;54.7201507;55.9378274
46;Башкирский институт технологий и управления (филиал МГУТУ);Республика Башкортостан, г. Мелеуз, ул. Смоленская, д.34;mail@mfmgutu.ru;8 (34764) 3-07-72;http://www.mfmgutu.ru/;Биологические,Гуманитарные,Информационные,Экономические,Технические,Транспортные,Пищевые;https://www.google.com/maps/search/Республика Башкортостан, г. Мелеуз, ул. Смоленская, д.34;https://maps.google.com/maps/api/staticmap?center=52.9612332%2C55.9316916&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=_0lPwSnHlZHYClHrFt-CZLH9Xiw;52.9612332;55.9316916
47;Башкирский кооперативный институт (филиал) Российского университета кооперации;г. Уфа (Башкортостан респ., Уфимский р-н), ул. Ленина, д. 26;ufa@rucoop.ru;(347) 274-52-36, (917) 795-02-35;http://www.ufa.ruc.su/;Гуманитарные,Экономические,Пищевые;https://www.google.com/maps/search/г. Уфа (Башкортостан респ., Уфимский р-н), ул. Ленина, д. 26;https://maps.google.com/maps/api/staticmap?center=54.7258946%2C55.947723&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=GpRuIplDFOvGXIU_ZXxxK09qtUg;54.7258946;55.947723
48;Белгородский государственный аграрный университет имени В.Я. Горина;г. Белгород (Белгородская обл.), пос. Майский, ул. Вавилова, д. 1;info@bsaa.edu.ru;(4722) 39-21-79;http://bsaa.edu.ru/;Аграрные,Архитектурные,Биологические,Гуманитарные,Географические,Экономические,Медицинские,Педагогические,Строительные,Психологические,Пищевые;https://www.google.com/maps/search/г. Белгород (Белгородская обл.), пос. Майский, ул. Вавилова, д. 1;https://maps.google.com/maps/api/staticmap?center=50.5231686%2C36.4539617&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=bnI-bhQbQCbHnjSv4HbC1z8JTVI;50.5231686;36.4539617
