Column1;Регион;Город;Вуз;Номер;Сайт;Почта;Студенты;Средний балл;Общая информация;Адрес;Url;Url_With_Coordinates;lat;long
10;Москва;Москва;Московская академия предпринимательства;74956859276;http://www.mosap.ru;info@mosap.ru;1275;;Негосударственное образовательное учреждение высшего профессионального образования Московская академия предпринимательства;Москва Москва Московская академия предпринимательства;https://www.google.com/maps/search/Москва Москва Московская академия предпринимательства;https://maps.google.com/maps/api/staticmap?center=55.805769%2C37.5409851&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=C2TU3g8zXapPPdd_u6Wpj_eZM5E;55.805769;37.5409851
11;Москва;Москва;Национальный исследовательский ядерный университет «МИФИ»;74957885699;http://mephi.ru;info@mephi.ru;5586;92.28;Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»;Москва Москва Национальный исследовательский ядерный университет «МИФИ»;https://www.google.com/maps/search/Москва Москва Национальный исследовательский ядерный университет «МИФИ»;https://maps.google.com/maps/api/staticmap?center=55.71646595%2C37.73043245&zoom=9&size=200x200&markers=55.79143%2C37.7965551%7C55.644145%2C37.674357%7C55.6502051%2C37.6643098%7C55.6415019%2C37.6726287%7C55.6488039%2C37.6679218&sensor=false&client=google-maps-frontend&signature=Piu711MaJrQWVBxrSFYAvb32Toc;55.71646595;37.73043245
12;Москва;Москва;Московский государственный университет пищевых производств;78005503602;http://www.mgupp.ru;mgupp@mgupp.ru;3913;68.39;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет пищевых производств»;Москва Москва Московский государственный университет пищевых производств;https://www.google.com/maps/search/Москва Москва Московский государственный университет пищевых производств;https://maps.google.com/maps/api/staticmap?center=55.8069195%2C37.4965899&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Ar0ZQGn3fow-US_9wcTr4Hvba-c;55.8069195;37.4965899
13;Москва;Москва;Московский политехнический университет;74952230523;http://mospolytech.ru;mospolytech@mospolytech.ru;12544;72.06;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский политехнический университет»;Москва Москва Московский политехнический университет;https://www.google.com/maps/search/Москва Москва Московский политехнический университет;https://maps.google.com/maps/api/staticmap?center=55.7814463%2C37.7112893&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=eAMLcILpS5U-1P-5AtFqGUpZDmc;55.7814463;37.7112893
14;Москва;Москва;Православный Свято-Тихоновский гуманитарный университет;74951145080;http://www.pstgu.ru;pstgu@pstgu.ru;1518;73.34;Образовательное частное учреждение высшего образования «Православный Свято-Тихоновский гуманитарный университет»;Москва Москва Православный Свято-Тихоновский гуманитарный университет;https://www.google.com/maps/search/Москва Москва Православный Свято-Тихоновский гуманитарный университет;https://maps.google.com/maps/api/staticmap?center=55.75388085%2C37.6232639&zoom=12&size=200x200&markers=55.7363864%2C37.6322544%7C55.7720261%2C37.6130588%7C55.7371753%2C37.633469%7C55.7357356%2C37.6289413&sensor=false&client=google-maps-frontend&signature=lntzebQ60OyYluPc4bk6-YCwDvw;55.75388085;37.6232639
15;Москва;Москва;Государственный академический университет гуманитарных наук;79265590026;http://gaugn.ru;priem@gaugn.ru;1963;82.93;Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный академический университет гуманитарных наук»;Москва Москва Государственный академический университет гуманитарных наук;https://www.google.com/maps/search/Москва Москва Государственный академический университет гуманитарных наук;https://maps.google.com/maps/api/staticmap?center=55.7326834%2C37.6090248&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=n5gldlIjDf4brdu643_EeZ3WEIc;55.7326834;37.6090248
16;Москва;Москва;МИРЭА – Российский технологический университет;74992156565;http://www.mirea.ru;pk@mirea.ru;24807;76.83;Федеральное государственное бюджетное образовательное учреждение высшего образования «МИРЭА - Российский технологический университет»;Москва Москва МИРЭА – Российский технологический университет;https://www.google.com/maps/search/Москва Москва МИРЭА – Российский технологический университет;https://maps.google.com/maps/api/staticmap?center=55.6699354%2C37.4802999&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Pe7XQ-_Ev0ZLqphEc7_d3GHGFIA;55.6699354;37.4802999
17;Москва;Москва;Институт законодательства и сравнительного правоведения при правительстве РФ;74957197000;http://www.izak.ru;office@izak.ru;;;Федеральное государственное научно-исследовательское учреждение  «Институт законодательства и сравнительного правоведения при Правительстве  Российской Федерации»;Москва Москва Институт законодательства и сравнительного правоведения при правительстве РФ;https://www.google.com/maps/search/Москва Москва Институт законодательства и сравнительного правоведения при правительстве РФ;https://maps.google.com/maps/api/staticmap?center=55.6787977%2C37.5836294&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=gfGXYw0bWQRMLHxJ3mNywgAM32M;55.6787977;37.5836294
18;Москва;Москва;Международная академия бизнеса и управления;78003022632;http://www.mabiu.ru;priem@mabiu.ru;1133;;Автономная некоммерческая организация высшего образования «Международная академия бизнеса и управления»;Москва Москва Международная академия бизнеса и управления;https://www.google.com/maps/search/Москва Москва Международная академия бизнеса и управления;https://maps.google.com/maps/api/staticmap?center=55.7982708%2C37.6199489&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=bdXCkY0sCSUtwqlm52Q8xVNbSfY;55.7982708;37.6199489
19;Москва;Москва;Школа-студия им. Вл.И. Немировича-Данченко при МХАТ им. А.П. Чехова;74956293936;http://mhatschool.theatre.ru;mxatschool@mail.ru;261;77.49;Федеральное государственное бюджетное образовательное учреждение высшего образования «Школа-студия (институт) имени Вл.И.Немировича-Данченко при Московском Художественном академическом театре имени А.П.Чехова»;Москва Москва Школа-студия им. Вл.И. Немировича-Данченко при МХАТ им. А.П. Чехова;https://www.google.com/maps/search/Москва Москва Школа-студия им. Вл.И. Немировича-Данченко при МХАТ им. А.П. Чехова;https://maps.google.com/maps/api/staticmap?center=55.759685%2C37.612608&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=m1NSsuQkCD0wQvQdva67nkmRuQ8;55.759685;37.612608
20;Москва;Москва;Институт театрального искусства;74959557095;http://www.mos-iti.ru;info@mos-iti.ru;444;;Автономная некоммерческая организация «Образовательная организация высшего образования «Институт театрального искусства»;Москва Москва Институт театрального искусства;https://www.google.com/maps/search/Москва Москва Институт театрального искусства;https://maps.google.com/maps/api/staticmap?center=55.8289224%2C37.6008234&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=v-Tm0T7WHAlXve4uCz7Nm6UMUVE;55.8289224;37.6008234
21;Москва;Москва;Институт международного права и экономики им. А.С. Грибоедова;74956737417;http://www.iile.ru;impe.griboedova@mail.ru;2774;;Образовательное частное учреждение высшего образования «Институт международного права и экономики имени А.С. Грибоедова»;Москва Москва Институт международного права и экономики им. А.С. Грибоедова;https://www.google.com/maps/search/Москва Москва Институт международного права и экономики им. А.С. Грибоедова;https://maps.google.com/maps/api/staticmap?center=55.754754%2C37.725878&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Nb-nLLVQut9hPGY50GOQgV9X-GE;55.754754;37.725878
22;Москва;Москва;Московский социально-педагогический институт;74999638071;http://mspi.edu.ru;info@mspi.edu.ru;1016;;Негосударственное образовательное учреждение высшего образования «Московский социально-педагогический институт»;Москва Москва Московский социально-педагогический институт;https://www.google.com/maps/search/Москва Москва Московский социально-педагогический институт;https://maps.google.com/maps/api/staticmap?center=55.7787437%2C37.6937523&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=4V6-Xm6ywxpbk25SBv8H_zT0pKc;55.7787437;37.6937523
23;Москва;Москва;Российская академия народного хозяйства и государственной службы при Президенте РФ;74999569999;http://www.ranepa.ru;information@ranepa.ru;18889;91.36;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»;Москва Москва Российская академия народного хозяйства и государственной службы при Президенте РФ;https://www.google.com/maps/search/Москва Москва Российская академия народного хозяйства и государственной службы при Президенте РФ;https://maps.google.com/maps/api/staticmap?center=55.70430845%2C37.57161395&zoom=10&size=200x200&markers=55.737787%2C37.6034431%7C55.6651109%2C37.4793589%7C55.743506%2C37.663869&sensor=false&client=google-maps-frontend&signature=mzU1qG2f2e1gXcU-Wadmrvj2MUE;55.70430845;37.57161395
24;Москва;Москва;Московский государственный юридический университет им. О.Е. Кутафина;74992448888;http://msal.ru;msal@msal.ru;9453;92.18;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)»;Москва Москва Московский государственный юридический университет им. О.Е. Кутафина;https://www.google.com/maps/search/Москва Москва Московский государственный юридический университет им. О.Е. Кутафина;https://maps.google.com/maps/api/staticmap?center=55.7620563%2C37.5859722&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=pLLu90Yz8Nz8QAcqzLEDI0M0Mow;55.7620563;37.5859722
25;Москва;Москва;Национальный исследовательский Московский государственный строительный университет;74957818007;http://www.mgsu.ru;kanz@mgsu.ru;10898;73.71;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Московский государственный строительный университет»;Москва Москва Национальный исследовательский Московский государственный строительный университет;https://www.google.com/maps/search/Москва Москва Национальный исследовательский Московский государственный строительный университет;https://maps.google.com/maps/api/staticmap?center=55.8573285%2C37.691449&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ZblDr2qKmPVXfZHaN6I0_z2qbRc;55.8573285;37.691449
26;Москва;Москва;Московский государственный технический университет им. Н.Э. Баумана;74992636391;http://bmstu.ru;bauman@bmstu.ru;21728;83.98;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)»;Москва Москва Московский государственный технический университет им. Н.Э. Баумана;https://www.google.com/maps/search/Москва Москва Московский государственный технический университет им. Н.Э. Баумана;https://maps.google.com/maps/api/staticmap?center=55.7682055%2C37.68639485&zoom=15&size=200x200&markers=55.7659869%2C37.6850104%7C55.7704241%2C37.6877793&sensor=false&client=google-maps-frontend&signature=kUDCzkIfHB_AFQZJaeqFwRkxIAE;55.7682055;37.68639485
27;Москва;Москва;Московский государственный областной университет;74957800943;http://mgou.ru;rectorat@mgou.ru;11023;75.32;Государственное образовательное учреждение высшего образования Московской области Московский государственный областной университет;Москва Москва Московский государственный областной университет;https://www.google.com/maps/search/Москва Москва Московский государственный областной университет;https://maps.google.com/maps/api/staticmap?center=55.77542925%2C37.68338905&zoom=14&size=200x200&markers=55.7777739%2C37.684135%7C55.7730846%2C37.6826431&sensor=false&client=google-maps-frontend&signature=NwaE2oUtdiLauHzelRPRw1lYLFc;55.77542925;37.68338905
28;Москва;Москва;Московский физико-технический институт;74954084554;http://mipt.ru;info@mipt.ru;6483;97.52;Федеральное государственное автономное образовательное учреждение высшего образования «Московский физико-технический институт (национальный исследовательский университет)»;Москва Москва Московский физико-технический институт;https://www.google.com/maps/search/Москва Москва Московский физико-технический институт;https://maps.google.com/maps/api/staticmap?center=55.83522465%2C37.5755012&zoom=9&size=200x200&markers=55.9297243%2C37.5199434%7C55.740725%2C37.631059&sensor=false&client=google-maps-frontend&signature=U8oVCO2GOe0I5BMdEP45wrWr-y0;55.83522465;37.5755012
29;Москва;Москва;Российский национальный исследовательский медицинский университет им. Н.И. Пирогова;74954341422;http://www.rsmu.ru;rsmu@rsmu.ru;8225;90.65;Федеральное государственное автономное образовательное учреждение высшего образования «Российский национальный исследовательский медицинский университет имени Н.И. Пирогова» Министерства здравоохранения Российской Федерации;Москва Москва Российский национальный исследовательский медицинский университет им. Н.И. Пирогова;https://www.google.com/maps/search/Москва Москва Российский национальный исследовательский медицинский университет им. Н.И. Пирогова;https://maps.google.com/maps/api/staticmap?center=55.6471984%2C37.4904372&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=yP5tybZaHz2p3jhAH0RrXNmeooc;55.6471984;37.4904372
30;Москва;Москва;Московский государственный институт международных отношений МИД РФ;74952294049;http://www.mgimo.ru;portal@inno.mgimo.ru;8518;96.47;Федеральное государственное автономное образовательное учреждение высшего образования «Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации»;Москва Москва Московский государственный институт международных отношений МИД РФ;https://www.google.com/maps/search/Москва Москва Московский государственный институт международных отношений МИД РФ;https://maps.google.com/maps/api/staticmap?center=55.6728244%2C37.4846619&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=MX3QX3wQYcxgThPWF3pZFYDddLE;55.6728244;37.4846619
31;Москва;Москва;Российский экономический университет им. Г.В. Плеханова;78002000836;http://rea.ru;rector@rea.ru;17787;91.7;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский экономический университет имени Г.В. Плеханова»;Москва Москва Российский экономический университет им. Г.В. Плеханова;https://www.google.com/maps/search/Москва Москва Российский экономический университет им. Г.В. Плеханова;https://maps.google.com/maps/api/staticmap?center=55.7890785%2C37.554461&zoom=9&size=200x200&markers=55.7276731%2C37.6273467%7C55.726464%2C37.6307139%7C55.865693%2C37.4781031%7C55.7276542%2C37.6276877%7C55.7287215%2C37.6294702%7C55.7274708%2C37.6290563%7C55.7286885%2C37.6302723%7C55.728719%2C37.632349%7C55.7609422%2C37.5646526%7C55.7290919%2C37.6310665&sensor=false&client=google-maps-frontend&signature=4HOw-zAGGY8pXG65rnZMsA8kJeM;55.7890785;37.554461
32;Москва;Москва;Российский университет дружбы народов;74999368787;http://www.rudn.ru;information@rudn.ru;23874;82.65;Федеральное государственное автономное  образовательное учреждение высшего образования «Российский университет дружбы народов»;Москва Москва Российский университет дружбы народов;https://www.google.com/maps/search/Москва Москва Российский университет дружбы народов;https://maps.google.com/maps/api/staticmap?center=55.65115775%2C37.5003257&zoom=16&size=200x200&markers=55.6505192%2C37.5019844%7C55.6517963%2C37.498667&sensor=false&client=google-maps-frontend&signature=h3Hhsifj-XLZ0izcyV4BVafq-ho;55.65115775;37.5003257
33;Москва;Москва;Московский инновационный университет;78002501091;http://miu-edu.ru;moscow.priem@mail.ru;655;;Образовательное частное учреждение высшего образования «Московский инновационный университет»;Москва Москва Московский инновационный университет;https://www.google.com/maps/search/Москва Москва Московский инновационный университет;https://maps.google.com/maps/api/staticmap?center=55.8128693%2C37.6955716&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=5lbS5vGZWG3Z5LHkEKNo5AbfShs;55.8128693;37.6955716
34;Москва;Москва;Московский открытый институт;74952252335;http://moi.edu.ru;pk@moi.edu.ru;827;;Образовательная автономная некоммерческая организация высшего образования «Московский открытый институт»;Москва Москва Московский открытый институт;https://www.google.com/maps/search/Москва Москва Московский открытый институт;https://maps.google.com/maps/api/staticmap?center=55.783648%2C37.7192549&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=gf-65e-2UNdjFdpCrkACCieJIeY;55.783648;37.7192549
35;Москва;Москва;Институт современного искусства;74952368878;http://www.isi-vuz.ru;rector@isi-vuz.ru;1767;;Автономная некоммерческая организация высшего образования «Институт современного искусства»;Москва Москва Институт современного искусства;https://www.google.com/maps/search/Москва Москва Институт современного искусства;https://maps.google.com/maps/api/staticmap?center=55.750348%2C37.4982558&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=tKfuHdMNMB_UgowS9E5JpOv6TAM;55.750348;37.4982558
36;Москва;Москва;Московский авиационный институт;74991584333;http://mai.ru;mai@mai.ru;18959;75;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский авиационный институт (национальный исследовательский  университет)»;Москва Москва Московский авиационный институт;https://www.google.com/maps/search/Москва Москва Московский авиационный институт;https://maps.google.com/maps/api/staticmap?center=55.8109067%2C37.500065&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=wn5yX95N2Ap57tykLRfhla3wVbQ;55.8109067;37.500065
37;Москва;Москва;Государственный университет по землеустройству;74992615979;http://www.guz.ru;info@guz.ru;4078;70.38;Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный университет по землеустройству»;Москва Москва Государственный университет по землеустройству;https://www.google.com/maps/search/Москва Москва Государственный университет по землеустройству;https://maps.google.com/maps/api/staticmap?center=55.7627995%2C37.6639281&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=DuO_mOVwnVkNuR7zapjZLPSD-vQ;55.7627995;37.6639281
38;Москва;Москва;Московский городской педагогический университет;74991812462;http://www.mgpu.ru;info@mgpu.ru;13576;80.86;Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»;Москва Москва Московский городской педагогический университет;https://www.google.com/maps/search/Москва Москва Московский городской педагогический университет;https://maps.google.com/maps/api/staticmap?center=55.833671%2C37.6434561&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=iIpeGCiBAnMspKbgvr5s9nPo9w0;55.833671;37.6434561
39;Москва;Москва;Московский государственный университет геодезии и картографии;74993227800;http://miigaik.ru;portal@miigaik.ru;3873;72.41;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет геодезии и картографии»;Москва Москва Московский государственный университет геодезии и картографии;https://www.google.com/maps/search/Москва Москва Московский государственный университет геодезии и картографии;https://maps.google.com/maps/api/staticmap?center=55.763449%2C37.6617969&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=urlDwcdUReHBNtCqRh1L-wcU--c;55.763449;37.6617969
40;Москва;Москва;Национальный исследовательский университет «МЭИ»;74953627560;http://mpei.ru;universe@mpei.ac.ru;14069;72.97;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский университет «МЭИ»;Москва Москва Национальный исследовательский университет «МЭИ»;https://www.google.com/maps/search/Москва Москва Национальный исследовательский университет «МЭИ»;https://maps.google.com/maps/api/staticmap?center=55.7565497%2C37.7070721&zoom=14&size=200x200&markers=55.7554695%2C37.7087429%7C55.7538598%2C37.7082369%7C55.7543255%2C37.7067424%7C55.7566527%2C37.7043101%7C55.7549237%2C37.7081782%7C55.755867%2C37.707581%7C55.754987%2C37.7098341%7C55.756103%2C37.70454%7C55.7592396%2C37.7080298&sensor=false&client=google-maps-frontend&signature=L_lfDYIir2nftOG2SnCBYyJVgDo;55.7565497;37.7070721
41;Москва;Москва;Финансовый университет при Правительстве РФ;74999439855;http://fa.ru;academy@fa.ru;19337;88.7;Федеральное государственное образовательное бюджетное учреждение высшего образования «Финансовый университет при Правительстве Российской Федерации»;Москва Москва Финансовый университет при Правительстве РФ;https://www.google.com/maps/search/Москва Москва Финансовый университет при Правительстве РФ;https://maps.google.com/maps/api/staticmap?center=55.7757051%2C37.6096378&zoom=10&size=200x200&markers=55.8009332%2C37.5266524%7C55.7806675%2C37.7321871%7C55.8123853%2C37.6361637%7C55.7390249%2C37.4870885&sensor=false&client=google-maps-frontend&signature=OmlUFxipNcLMfWT-4ik02CcyKvA;55.7757051;37.6096378
42;Москва;Москва;Московская государственная академия ветеринарной медицины и биотехнологии им. К.И. Скрябина;74953779117;http://mgavm.ru;rector@mgavm.ru;3362;77.93;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная академия ветеринарной медицины и биотехнологии – МВА имени К.И. Скрябина»;Москва Москва Московская государственная академия ветеринарной медицины и биотехнологии им. К.И. Скрябина;https://www.google.com/maps/search/Москва Москва Московская государственная академия ветеринарной медицины и биотехнологии им. К.И. Скрябина;https://maps.google.com/maps/api/staticmap?center=55.698677%2C37.793395&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=MWc5LqeW9jpFq3eO1FRwr9FCdug;55.698677;37.793395
43;Москва;Москва;Московский государственный технологический университет Станкин;74999733076;http://www.stankin.ru;rector@stankin.ru;4105;70;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технологический университет «СТАНКИН»;Москва Москва Московский государственный технологический университет Станкин;https://www.google.com/maps/search/Москва Москва Московский государственный технологический университет Станкин;https://maps.google.com/maps/api/staticmap?center=55.7897466%2C37.5950191&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Xpn2LQR0V_LQQs1As4khzRVZ94g;55.7897466;37.5950191
44;Москва;Москва;Московский государственный медико-стоматологический университет им. А.И. Евдокимова;74956096700;http://www.msmsu.ru;msmsu@msmsu.ru;7404;78.68;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный медико-стоматологический университет имени А.И. Евдокимова» Министерства здравоохранения Российской Федерации;Москва Москва Московский государственный медико-стоматологический университет им. А.И. Евдокимова;https://www.google.com/maps/search/Москва Москва Московский государственный медико-стоматологический университет им. А.И. Евдокимова;https://maps.google.com/maps/api/staticmap?center=55.7921669%2C37.5862575&zoom=12&size=200x200&markers=55.7763601%2C37.6157415%7C55.7754373%2C37.6038962%7C55.8088965%2C37.5567735&sensor=false&client=google-maps-frontend&signature=c97k-7i4JfkKkIufIiuBfQkRZxw;55.7921669;37.5862575
45;Москва;Москва;Российская академия музыки им. Гнесиных;74956911554;http://www.gnesin-academy.ru;mailbox@gnesin-academy.ru;1625;80.79;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская академия музыки имени Гнесиных»;Москва Москва Российская академия музыки им. Гнесиных;https://www.google.com/maps/search/Москва Москва Российская академия музыки им. Гнесиных;https://maps.google.com/maps/api/staticmap?center=55.7561286%2C37.5903012&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=PhvU7lTKCVu3DJmjsbFkHeco4oo;55.7561286;37.5903012
